league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,season_start,stat_type
ENG-Premier League,2020/21,Everton,Ben Godfrey,ENG,DF,22,1998,31,29,2685,29.8,0,2,2,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,2020,standard
ENG-Premier League,2020/21,Everton,Bernard,BRA,"MF,FW",27,1992,12,3,455,5.1,1,0,1,1,0,0,2,0,0.2,0.0,0.2,0.2,0.2,2020,standard
ENG-Premier League,2020/21,Everton,Cenk Tosun,TUR,"FW,MF",29,1991,5,0,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Dominic Calvert-Lewin,ENG,FW,23,1997,33,32,2871,31.9,16,0,16,16,0,0,3,0,0.5,0.0,0.5,0.5,0.5,2020,standard
ENG-Premier League,2020/21,Everton,Fabian Delph,ENG,MF,30,1989,8,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Gylfi Sigurðsson,ISL,"MF,FW",30,1989,36,24,2253,25.0,6,5,11,3,3,4,2,0,0.24,0.2,0.44,0.12,0.32,2020,standard
ENG-Premier League,2020/21,Everton,James Rodríguez,COL,"FW,MF",29,1991,23,21,1764,19.6,6,4,10,6,0,0,4,0,0.31,0.2,0.51,0.31,0.51,2020,standard
ENG-Premier League,2020/21,Everton,Jean-Philippe Gbamin,CIV,"DF,MF",24,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Jonjoe Kenny,ENG,DF,23,1997,4,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Jordan Pickford,ENG,GK,26,1994,31,31,2742,30.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Joshua King,NOR,"FW,MF",28,1992,11,0,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,João Virgínia,POR,GK,20,1999,1,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Lucas Digne,FRA,"DF,MF",27,1993,30,30,2681,29.8,0,7,7,0,0,0,2,1,0.0,0.23,0.23,0.0,0.23,2020,standard
ENG-Premier League,2020/21,Everton,Mason Holgate,JAM,DF,23,1996,28,26,2287,25.4,1,0,1,1,0,0,9,0,0.04,0.0,0.04,0.04,0.04,2020,standard
ENG-Premier League,2020/21,Everton,Michael Keane,ENG,DF,27,1993,35,33,2991,33.2,3,1,4,3,0,0,4,0,0.09,0.03,0.12,0.09,0.12,2020,standard
ENG-Premier League,2020/21,Everton,Moise Kean,ITA,FW,20,2000,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Nathan Broadhead,WAL,"FW,MF",22,1998,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Niels Nkounkou,FRA,DF,19,2000,2,1,81,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Richarlison,BRA,"FW,MF",23,1997,34,33,2861,31.8,7,3,10,6,1,1,4,1,0.22,0.09,0.31,0.19,0.28,2020,standard
ENG-Premier League,2020/21,Everton,Robin Olsen,SWE,GK,30,1990,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Séamus Coleman,IRL,"DF,MF",31,1988,25,18,1613,17.9,0,3,3,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17,2020,standard
ENG-Premier League,2020/21,Everton,Theo Walcott,ENG,"FW,MF",31,1989,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,Tom Davies,ENG,MF,22,1998,25,17,1423,15.8,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,2020,standard
ENG-Premier League,2020/21,Everton,Yerry Mina,COL,DF,25,1994,24,23,1937,21.5,2,0,2,2,0,0,2,0,0.09,0.0,0.09,0.09,0.09,2020,standard
ENG-Premier League,2020/21,Fulham,Aboubakar Kamara,MTN,"MF,FW",25,1995,11,2,315,3.5,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Fulham,Ademola Lookman,NGA,"MF,FW",22,1997,34,31,2747,30.5,4,4,8,4,0,1,5,0,0.13,0.13,0.26,0.13,0.26,2020,standard
ENG-Premier League,2020/21,Fulham,Aleksandar Mitrović,SRB,FW,25,1994,27,13,1402,15.6,3,3,6,2,1,2,3,0,0.19,0.19,0.39,0.13,0.32,2020,standard
ENG-Premier League,2020/21,Fulham,Alphonse Areola,FRA,GK,27,1993,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Fulham,Antonee Robinson,USA,"DF,MF",22,1997,28,24,2162,24.0,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Fulham,Bobby De Cordova-Reid,JAM,"MF,FW",27,1993,33,28,2372,26.4,5,2,7,5,0,0,7,0,0.19,0.08,0.27,0.19,0.27,2020,standard
ENG-Premier League,2020/21,Fulham,Denis Odoi,GHA,DF,32,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Fulham,Fabio Carvalho,POR,"FW,MF",17,2002,4,3,255,2.8,1,0,1,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,2020,standard
ENG-Premier League,2020/21,Fulham,Frank Anguissa,CMR,MF,24,1995,36,29,2587,28.7,0,3,3,0,0,0,6,0,0.0,0.1,0.1,0.0,0.1,2020,standard
ENG-Premier League,2020/21,Fulham,Harrison Reed,ENG,MF,25,1995,31,26,2247,25.0,0,2,2,0,0,0,5,0,0.0,0.08,0.08,0.0,0.08,2020,standard
ENG-Premier League,2020/21,Fulham,Ivan Cavaleiro,POR,"FW,MF",26,1993,36,27,2472,27.5,3,0,3,2,1,2,2,0,0.11,0.0,0.11,0.07,0.07,2020,standard
ENG-Premier League,2020/21,Fulham,Joachim Andersen,DEN,DF,24,1996,31,30,2730,30.3,1,1,2,1,0,0,7,1,0.03,0.03,0.07,0.03,0.07,2020,standard
ENG-Premier League,2020/21,Fulham,Joe Bryan,ENG,"MF,DF",26,1993,16,7,669,7.4,1,0,1,1,0,0,2,0,0.13,0.0,0.13,0.13,0.13,2020,standard
ENG-Premier League,2020/21,Fulham,Josh Maja,NGA,FW,21,1998,15,9,810,9.0,3,0,3,2,1,1,0,0,0.33,0.0,0.33,0.22,0.22,2020,standard
ENG-Premier League,2020/21,Fulham,Josh Onomah,ENG,MF,23,1997,11,4,374,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Fulham,Kenny Tete,NED,"DF,MF",24,1995,22,18,1481,16.5,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,2020,standard
ENG-Premier League,2020/21,Fulham,Marek Rodák,SVK,GK,23,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Fulham,Mario Lemina,GAB,MF,26,1993,28,19,1703,18.9,1,0,1,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05,2020,standard
ENG-Premier League,2020/21,Fulham,Maxime Le Marchand,FRA,DF,30,1989,2,1,123,1.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Fulham,Michael Hector,JAM,DF,28,1992,4,3,263,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Fulham,Neeskens Kebano,COD,MF,28,1992,5,1,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
